Hours,Minutes,Seconds,Day,Month,Year,Latitude,Longitude,Attempt
17,0,20,11,4,15,43.788353,-79.315697,1
17,0,33,11,4,15,43.788353,-79.315697,1
17,0,50,11,4,15,43.788353,-79.315697,1
17,1,4,11,4,15,43.788353,-79.315697,1
17,1,19,11,4,15,43.788353,-79.315697,1
17,1,29,11,4,15,43.788353,-79.315697,1
17,2,15,11,4,15,43.788353,-79.315628,1
17,2,27,11,4,15,43.788704,-79.316269,1
17,2,53,11,4,15,43.788704,-79.316269,1
17,3,9,11,4,15,43.788704,-79.316269,1
17,9,39,11,4,15,43.788418,-79.315628,1
17,9,48,11,4,15,43.788418,-79.315628,1
17,9,56,11,4,15,43.788418,-79.315628,1
17,10,6,11,4,15,43.788418,-79.315628,1
17,10,12,11,4,15,43.788418,-79.315628,1
17,12,7,11,4,15,43.788559,-79.315697,1
15,56,58,11,4,15,43.788574,-79.31559,1
15,57,11,11,4,15,43.788689,-79.315681,1
15,57,39,11,4,15,43.788193,-79.316086,1
